Territorialidade,Posição IDHM,IDHM,Posição IDHM Renda,IDHM Renda,Posição IDHM Educação,IDHM Educação,Posição IDHM Longevidade,IDHM Longevidade
Porto Alegre (RS),28,"0,805",6,"0,867",331,"0,702",501,"0,857"
Carlos Barbosa (RS),53,"0,796",23,"0,835",151,"0,724",1419,"0,835"
Ipiranga do Sul (RS),62,"0,791",34,"0,818",374,"0,698",276,"0,866"
Três Arroios (RS),62,"0,791",15,"0,843",483,"0,689",702,"0,851"
Lagoa dos Três Cantos (RS),71,"0,789",232,"0,765",39,"0,754",643,"0,852"
Garibaldi (RS),87,"0,786",28,"0,825",495,"0,688",527,"0,856"
Nova Araçá (RS),92,"0,785",61,"0,796",162,"0,722",1032,"0,843"
Casca (RS),92,"0,785",141,"0,778",107,"0,733",846,"0,847"
Santa Maria (RS),100,"0,784",64,"0,795",205,"0,715",792,"0,848"
Ivoti (RS),100,"0,784",132,"0,78",125,"0,729",792,"0,848"
Horizontina (RS),110,"0,783",116,"0,782",193,"0,716",473,"0,858"
Caxias do Sul (RS),113,"0,782",37,"0,812",516,"0,686",425,"0,86"
Ijuí (RS),119,"0,781",97,"0,786",269,"0,707",473,"0,858"
Nova Petrópolis (RS),128,"0,78",162,"0,775",495,"0,688",11,"0,89"
Vista Alegre do Prata (RS),128,"0,78",39,"0,809",450,"0,692",846,"0,847"
Bento Gonçalves (RS),145,"0,778",46,"0,805",416,"0,695",1075,"0,842"
Nova Bréscia (RS),145,"0,778",22,"0,836",768,"0,666",846,"0,847"
Lajeado (RS),145,"0,778",61,"0,796",305,"0,704",1183,"0,84"
Farroupilha (RS),157,"0,777",112,"0,783",404,"0,696",390,"0,861"
Victor Graeff (RS),157,"0,777",166,"0,774",162,"0,722",1183,"0,84"
Selbach (RS),157,"0,777",105,"0,785",239,"0,71",1128,"0,841"
Sarandi (RS),157,"0,777",155,"0,776",293,"0,705",473,"0,858"
Passo Fundo (RS),168,"0,776",93,"0,787",364,"0,699",759,"0,849"
Erechim (RS),168,"0,776",116,"0,782",193,"0,716",1515,"0,833"
Marau (RS),185,"0,774",175,"0,773",364,"0,699",501,"0,857"
Veranópolis (RS),197,"0,773",59,"0,797",450,"0,692",1281,"0,838"
Paraí (RS),197,"0,773",93,"0,787",593,"0,679",276,"0,866"
Santa Cruz do Sul (RS),197,"0,773",116,"0,782",442,"0,693",643,"0,852"
Aratiba (RS),210,"0,772",50,"0,801",719,"0,67",527,"0,856"
Santo Ângelo (RS),210,"0,772",232,"0,765",404,"0,696",343,"0,863"
Santa Rosa (RS),238,"0,769",375,"0,752",442,"0,693",181,"0,871"
Arroio do Meio (RS),238,"0,769",415,"0,75",282,"0,706",425,"0,86"
Nova Boa Vista (RS),249,"0,768",241,"0,764",257,"0,708",1370,"0,836"
Três Passos (RS),249,"0,768",517,"0,745",239,"0,71",473,"0,858"
São Marcos (RS),249,"0,768",162,"0,775",548,"0,683",551,"0,855"
Novo Xingu (RS),265,"0,767",435,"0,749",257,"0,708",722,"0,85"
Encantado (RS),265,"0,767",241,"0,764",505,"0,687",473,"0,858"
Estrela (RS),265,"0,767",155,"0,776",538,"0,684",722,"0,85"
Capivari do Sul (RS),274,"0,766",46,"0,805",738,"0,668",1370,"0,836"
Carazinho (RS),274,"0,766",321,"0,756",269,"0,707",1183,"0,84"
Nova Prata (RS),274,"0,766",116,"0,782",516,"0,686",1238,"0,839"
Santiago (RS),274,"0,766",494,"0,746",560,"0,682",70,"0,882"
Ibirubá (RS),289,"0,765",97,"0,786",708,"0,671",792,"0,848"
Guaporé (RS),289,"0,765",125,"0,781",527,"0,685",1315,"0,837"
Colinas (RS),289,"0,765",97,"0,786",606,"0,678",1183,"0,84"
Espumoso (RS),289,"0,765",478,"0,747",620,"0,677",55,"0,884"
Não-Me-Toque (RS),289,"0,765",106,"0,784",686,"0,673",846,"0,847"
Santo Antônio do Palma (RS),304,"0,764",93,"0,787",787,"0,665",610,"0,853"
Cerro Largo (RS),304,"0,764",375,"0,752",374,"0,698",759,"0,849"
Rondinha (RS),304,"0,764",132,"0,78",606,"0,678",1075,"0,842"
Gramado (RS),304,"0,764",112,"0,783",829,"0,662",390,"0,861"
Montauri (RS),304,"0,764",78,"0,79",829,"0,662",643,"0,852"
Imbé (RS),304,"0,764",28,"0,825",1232,"0,638",846,"0,847"
São Valentim do Sul (RS),304,"0,764",155,"0,776",620,"0,677",792,"0,848"
Fagundes Varela (RS),320,"0,763",175,"0,773",668,"0,674",643,"0,852"
São Pedro do Butiá (RS),320,"0,763",291,"0,76",431,"0,694",1032,"0,843"
Barra Funda (RS),320,"0,763",805,"0,731",239,"0,71",527,"0,856"
São Domingos do Sul (RS),320,"0,763",132,"0,78",581,"0,68",1238,"0,839"
Boa Vista do Buricá (RS),335,"0,762",281,"0,761",389,"0,697",1464,"0,834"
David Canabarro (RS),335,"0,762",596,"0,74",495,"0,688",204,"0,87"
Saldanha Marinho (RS),335,"0,762",517,"0,745",282,"0,706",1128,"0,841"
Torres (RS),335,"0,762",415,"0,75",527,"0,685",372,"0,862"
Vila Maria (RS),350,"0,761",75,"0,791",802,"0,664",1238,"0,839"
Panambi (RS),350,"0,761",375,"0,752",465,"0,691",792,"0,848"
Nova Pádua (RS),350,"0,761",266,"0,762",606,"0,678",643,"0,852"
Campinas do Sul (RS),366,"0,76",360,"0,753",465,"0,691",1075,"0,842"
Tapejara (RS),366,"0,76",252,"0,763",495,"0,688",1315,"0,837"
Itaara (RS),366,"0,76",281,"0,761",505,"0,687",1128,"0,841"
Serafina Corrêa (RS),366,"0,76",335,"0,755",474,"0,69",1032,"0,843"
Frederico Westphalen (RS),366,"0,76",349,"0,754",495,"0,688",901,"0,846"
Santo Antônio do Planalto (RS),383,"0,759",1547,"0,701",293,"0,705",40,"0,885"
Nova Candelária (RS),383,"0,759",66,"0,794",1133,"0,643",527,"0,856"
Três de Maio (RS),383,"0,759",321,"0,756",431,"0,694",1464,"0,834"
Colorado (RS),400,"0,758",162,"0,775",668,"0,674",1419,"0,835"
Picada Café (RS),400,"0,758",639,"0,738",344,"0,701",1075,"0,842"
Antônio Prado (RS),400,"0,758",151,"0,777",708,"0,671",1419,"0,835"
Guabiju (RS),400,"0,758",25,"0,831",1727,"0,612",501,"0,857"
Vanini (RS),420,"0,757",692,"0,736",305,"0,704",1370,"0,836"
Estância Velha (RS),420,"0,757",435,"0,749",995,"0,652",19,"0,887"
Cachoeirinha (RS),420,"0,757",435,"0,749",648,"0,675",501,"0,857"
Chapada (RS),420,"0,757",375,"0,752",593,"0,679",759,"0,849"
Presidente Lucena (RS),420,"0,757",870,"0,727",668,"0,674",40,"0,885"
Vista Gaúcha (RS),420,"0,757",166,"0,774",731,"0,669",1238,"0,839"
Dois Lajeados (RS),420,"0,757",162,"0,775",719,"0,67",1315,"0,837"
Quinze de Novembro (RS),440,"0,756",112,"0,783",945,"0,655",1128,"0,841"
Fortaleza dos Valos (RS),440,"0,756",137,"0,779",815,"0,663",1315,"0,837"
Montenegro (RS),453,"0,755",281,"0,761",966,"0,654",276,"0,866"
