data,pm10,so2,no2,o3,co 
2014-01-01 00:00:00,84.4,0.65,,9.1,0.025
2014-01-01 01:00:00,94.4,0.65,,14.6,0.3
2014-01-01 02:00:00,75.5,0.65,,11.7,0.025
2014-01-01 03:00:00,69.5,0.65,,7.8,0.025
2014-01-01 04:00:00,52.0,0.65,,11.8,0.025
2014-01-01 05:00:00,39.5,0.65,,11.7,0.025
2014-01-01 06:00:00,29.7,0.65,,19.3,0.025
2014-01-01 07:00:00,22.2,0.65,,27.8,0.025
2014-01-01 08:00:00,24.1,0.65,,37.9,0.025
2014-01-01 09:00:00,14.6,0.65,,46.7,0.025
2014-01-01 10:00:00,18.3,0.65,,50.1,0.025
2014-01-01 11:00:00,11.1,0.65,,45.5,0.025
2014-01-01 12:00:00,7.8,0.65,,38.0,0.025
2014-01-01 13:00:00,5.4,0.65,,46.6,0.025
2014-01-01 14:00:00,8.8,0.65,,59.5,0.025
2014-01-01 15:00:00,14.3,0.65,,62.3,0.025
2014-01-01 16:00:00,11.5,0.65,,59.2,0.025
2014-01-01 17:00:00,9.8,0.65,,57.7,0.025
2014-01-01 18:00:00,17.0,0.65,,51.3,0.025
2014-01-01 19:00:00,23.8,0.65,,46.2,0.025
2014-01-01 20:00:00,29.9,0.65,,39.1,0.025
2014-01-01 21:00:00,24.9,0.65,,26.4,0.025
2014-01-01 22:00:00,7.5,0.65,,19.3,0.025
2014-01-01 23:00:00,24.6,0.65,,20.7,0.025
2014-01-02 00:00:00,20.4,0.65,,32.7,0.025
2014-01-02 01:00:00,25.4,0.65,,18.3,0.025
2014-01-02 02:00:00,21.4,0.65,,12.4,0.025
2014-01-02 03:00:00,16.3,0.65,,10.0,0.025
2014-01-02 04:00:00,24.8,0.65,,8.7,0.025
2014-01-02 05:00:00,19.9,0.65,,4.8,0.025
2014-01-02 06:00:00,12.2,0.65,,3.4,0.025
2014-01-02 07:00:00,20.2,0.65,,3.5,0.025
2014-01-02 08:00:00,35.8,0.65,,5.4,0.025
2014-01-02 09:00:00,33.3,0.65,,10.9,0.025
2014-01-02 10:00:00,28.6,0.65,,15.5,0.025
2014-01-02 11:00:00,25.5,0.65,,23.2,0.025
2014-01-02 12:00:00,23.3,0.65,,21.6,0.025
2014-01-02 13:00:00,20.4,0.65,,28.2,0.025
2014-01-02 14:00:00,14.1,0.65,,29.7,0.025
2014-01-02 15:00:00,16.6,0.65,,30.7,0.025
2014-01-02 16:00:00,17.5,0.65,,21.4,0.025
2014-01-02 17:00:00,15.9,0.65,,20.9,0.025
2014-01-02 18:00:00,21.1,0.65,,16.4,0.025
2014-01-02 19:00:00,29.0,0.65,,19.3,0.025
2014-01-02 20:00:00,27.2,0.65,,18.2,0.025
2014-01-02 21:00:00,28.2,0.65,,15.2,0.025
2014-01-02 22:00:00,25.5,0.65,,23.9,0.025
2014-01-02 23:00:00,17.5,0.65,,26.8,0.025
2014-01-03 00:00:00,13.6,0.65,,50.4,0.025
2014-01-03 01:00:00,14.3,0.65,,26.8,0.025
2014-01-03 02:00:00,16.2,0.65,,25.9,0.025
2014-01-03 03:00:00,13.2,0.65,,26.8,0.025
2014-01-03 04:00:00,12.9,0.65,,29.6,0.025
2014-01-03 05:00:00,8.0,0.65,,26.2,0.025
2014-01-03 06:00:00,7.8,0.65,,21.7,0.025
2014-01-03 07:00:00,11.6,0.65,,13.4,0.025
2014-01-03 08:00:00,,0.65,,15.3,0.025
2014-01-03 09:00:00,,5.8,,31.2,0.025
2014-01-03 10:00:00,,0.65,,13.6,0.025
2014-01-03 11:00:00,,0.65,,18.9,0.025
2014-01-03 12:00:00,,0.65,,17.9,0.025
2014-01-03 13:00:00,1.3,0.65,,23.6,0.025
2014-01-03 14:00:00,9.5,0.65,,20.7,0.025
2014-01-03 15:00:00,9.7,0.65,,22.3,0.025
2014-01-03 16:00:00,21.1,0.65,,26.0,0.025
2014-01-03 17:00:00,14.2,0.65,,22.9,0.025
2014-01-03 18:00:00,15.4,0.65,,18.7,0.025
2014-01-03 19:00:00,11.9,0.65,,17.8,0.025
2014-01-03 20:00:00,11.4,0.65,,12.5,0.025
2014-01-03 21:00:00,26.7,0.65,,9.0,0.025
2014-01-03 22:00:00,28.0,0.65,,8.3,0.025
2014-01-03 23:00:00,35.1,0.65,,5.7,0.025
2014-01-04 00:00:00,31.8,0.65,,10.4,0.025
2014-01-04 01:00:00,28.6,0.65,,5.6,0.025
2014-01-04 02:00:00,21.2,0.65,,3.7,0.025
2014-01-04 03:00:00,25.5,0.65,,4.0,0.025
2014-01-04 04:00:00,20.6,0.65,,3.7,0.025
2014-01-04 05:00:00,21.0,0.65,,2.1,0.025
2014-01-04 06:00:00,25.6,0.65,,2.3,0.025
2014-01-04 07:00:00,30.3,0.65,,4.0,0.025
2014-01-04 08:00:00,27.8,0.65,,7.8,0.025
2014-01-04 09:00:00,20.7,0.65,,15.0,0.025
2014-01-04 10:00:00,16.6,0.65,,21.3,0.025
2014-01-04 11:00:00,11.0,0.65,,25.4,0.025
2014-01-04 12:00:00,15.7,0.65,,29.2,0.025
2014-01-04 13:00:00,12.3,0.65,,31.8,0.025
2014-01-04 14:00:00,16.4,0.65,,33.5,0.025
2014-01-04 15:00:00,17.5,0.65,,36.1,0.025
2014-01-04 16:00:00,14.0,0.65,,39.5,0.025
2014-01-04 17:00:00,17.7,0.65,,40.9,0.025
2014-01-04 18:00:00,23.9,0.65,,37.4,0.025
2014-01-04 19:00:00,30.6,0.65,,32.2,0.025
2014-01-04 20:00:00,33.2,0.65,,26.9,0.025
2014-01-04 21:00:00,35.8,0.65,,21.1,0.025
2014-01-04 22:00:00,35.0,0.65,,19.2,0.025
2014-01-04 23:00:00,46.4,0.65,,16.2,0.025
2014-01-05 00:00:00,37.3,0.65,,16.0,0.025
2014-01-05 01:00:00,32.6,0.65,,12.8,0.025
2014-01-05 02:00:00,36.5,0.65,,7.3,0.025
2014-01-05 03:00:00,21.8,0.65,,6.2,0.025
2014-01-05 04:00:00,29.7,0.65,,5.2,0.025
2014-01-05 05:00:00,25.0,0.65,,2.6,0.025
2014-01-05 06:00:00,19.6,1.4,,1.6,0.025
2014-01-05 07:00:00,13.0,1.7,,3.7,0.025
2014-01-05 08:00:00,22.5,1.4,,6.8,0.025
2014-01-05 09:00:00,14.5,0.65,,14.4,0.025
2014-01-05 10:00:00,8.2,0.65,,20.9,0.025
2014-01-05 11:00:00,8.4,0.65,,25.0,0.025
2014-01-05 12:00:00,14.7,0.65,,27.4,0.025
2014-01-05 13:00:00,9.8,0.65,,27.1,0.025
